G5a Token Report: input

xh_d = 15.000
phase2 multipliers: tall=2.8, thin=0.35, wide=3.0, flat=0.25
near-square band: [0.9, 1.1]

Counts by kind:
  FLOATER_BLOB_TOKEN: 242
  H_RUN: 456
  WD_SPACE: 346
  WIDE_SPACE: 33

Counts by shape:
  -: 835
  FloaterBlobLike: 242

Token list (sorted by top,left):
  idx  kind               shape            txt len  l   t   r   b   w   h   members
   35  H_RUN              -                 Y    4  121 157 180 173  59  16        4
   36  WD_SPACE           -                 N    0  180 157 190 173  10  16        0
   37  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  402 157 418 173  16  16        1
   38  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  483 157 499 173  16  16        1
   39  H_RUN              -                 Y    1  532 157 538 173   6  16        1
   40  H_RUN              -                 Y    1  836 157 846 173  10  16        1
   41  WD_SPACE           -                 N    0  846 157 850 180   4  23        0
   42  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  916 157 926 173  10  16        1
   43  WD_SPACE           -                 N    0  761 158 771 178  10  20        0
   44  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  329 160 352 161  23   1        1
   45  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  448 160 471 161  23   1        1
   46  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  880 160 903 161  23   1        1
   47  H_RUN              -                 Y    2  377 166 391 178  14  12        2
   48  H_RUN              -                 Y    1  503 166 508 178   5  12        1
   49  H_RUN              -                 Y    1  929 166 938 178   9  12        1
   50  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  329 167 352 168  23   1        1
   51  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  448 167 471 168  23   1        1
   52  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  880 167 903 168  23   1        1
   53  H_RUN              -                 Y    2  421 168 434 180  13  12        2
   54  H_RUN              -                 Y    2  850 168 866 180  16  12        2
   55  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  617 169 623 178   6   9        1
   56  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  675 169 681 178   6   9        1
   57  H_RUN              -                 Y    1  755 169 761 178   6   9        1
   58  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1051 169 1057 178   6   9        1
   59  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1109 169 1115 178   6   9        1
   60  H_RUN              -                 Y    2  949 210 971 227  22  17        2
   61  WIDE_SPACE         -                 N    0  971 210 1066 227  95  17        0
   62  H_RUN              -                 Y    2  1066 210 1089 227  23  17        2
   63  H_RUN              -                 Y    3  170 215 217 239  47  24        3
   64  WD_SPACE           -                 N    0  217 215 229 239  12  24        0
   65  H_RUN              -                 Y    1  229 215 249 239  20  24        1
   66  H_RUN              -                 Y    3  272 215 328 239  56  24        3
   67  WD_SPACE           -                 N    0  328 215 341 239  13  24        0
   68  H_RUN              -                 Y    1  341 215 361 239  20  24        1
   69  H_RUN              -                 Y    6  386 215 487 239 101  24        6
   70  H_RUN              -                 Y    3  500 215 545 239  45  24        3
   71  WD_SPACE           -                 N    0  707 215 720 239  13  24        0
   72  H_RUN              -                 Y    7  720 215 828 248 108  33        7
   73  H_RUN              -                 Y    2  841 215 871 239  30  24        2
   74  WD_SPACE           -                 N    0  871 215 882 239  11  24        0
   75  H_RUN              -                 Y    3  882 215 927 239  45  24        3
   76  H_RUN              -                 Y    3  985 215 1041 239  56  24        3
   77  WD_SPACE           -                 N    0  1041 215 1054 239  13  24        0
   78  H_RUN              -                 Y   12  1103 215 1284 239 181  24       12
   79  H_RUN              -                 Y    4  1297 215 1395 239  98  24        4
   80  WD_SPACE           -                 N    0  1395 215 1407 239  12  24        0
   81  H_RUN              -                 Y    3  1407 215 1452 239  45  24        3
   82  WD_SPACE           -                 N    0  1452 215 1465 239  13  24        0
   83  H_RUN              -                 Y    5  1465 215 1580 239 115  24        5
   84  WD_SPACE           -                 N    0  487 218 500 239  13  21        0
   85  H_RUN              -                 Y    9  557 218 707 248 150  30        9
   86  WD_SPACE           -                 N    0  545 223 557 239  12  16        0
   87  WD_SPACE           -                 N    0  828 223 841 239  13  16        0
   88  WD_SPACE           -                 N    0  927 223 942 239  15  16        0
   89  H_RUN              -                 Y    1  942 223 948 239   6  16        1
   90  WIDE_SPACE         -                 N    0  948 223 985 239  37  16        0
   91  H_RUN              -                 Y    1  1054 223 1066 239  12  16        1
   92  WIDE_SPACE         -                 N    0  1066 223 1103 239  37  16        0
   93  WD_SPACE           -                 N    0  1284 223 1297 239  13  16        0
   94  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  252 232 257 244   5  12        1
   95  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  364 232 373 244   9  12        1
   96  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1348 270 1357 288   9  18        1
   97  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1373 274 1391 278  18   4        1
   98  WD_SPACE           -                 N    0  1311 278 1325 317  14  39        0
   99  H_RUN              -                 Y    2  1325 278 1352 318  27  40        2
  100  H_RUN              -                 Y    2  124 280 146 314  22  34        2
  101  WD_SPACE           -                 N    0  175 280 180 314   5  34        0
  102  H_RUN              -                 Y    1  180 280 184 314   4  34        1
  103  WD_SPACE           -                 N    0  184 280 190 314   6  34        0
  104  WD_SPACE           -                 N    0  1396 280 1402 315   6  35        0
  105  H_RUN              -                 Y    1  1402 280 1410 315   8  35        1
  106  WD_SPACE           -                 N    0  1410 280 1415 315   5  35        0
  107  WD_SPACE           -                 N    0  1431 280 1435 315   4  35        0
  108  H_RUN              -                 Y    1  1435 280 1443 315   8  35        1
  109  WD_SPACE           -                 N    0  1443 280 1447 315   4  35        0
  110  WD_SPACE           -                 N    0  1462 280 1467 315   5  35        0
  111  H_RUN              -                 Y    1  1467 280 1475 315   8  35        1
  112  WD_SPACE           -                 N    0  1475 280 1480 315   5  35        0
  113  WD_SPACE           -                 N    0  1522 280 1526 315   4  35        0
  114  H_RUN              -                 Y    1  1526 280 1534 315   8  35        1
  115  WD_SPACE           -                 N    0  1534 280 1544 315  10  35        0
  116  H_RUN              -                 Y    1  163 282 175 306  12  24        1
  117  H_RUN              -                 Y    4  209 282 278 306  69  24        4
  118  WD_SPACE           -                 N    0  278 282 289 306  11  24        0
  119  H_RUN              -                 Y    4  289 282 347 306  58  24        4
  120  WD_SPACE           -                 N    0  347 282 359 306  12  24        0
  121  H_RUN              -                 Y    1  359 282 379 306  20  24        1
  122  H_RUN              -                 Y    2  571 282 626 306  55  24        2
  123  WD_SPACE           -                 N    0  626 282 639 306  13  24        0
  124  H_RUN              -                 Y    1  639 282 659 306  20  24        1
  125  H_RUN              -                 Y    2  878 282 912 306  34  24        2
  126  H_RUN              -                 Y    3  1126 282 1171 306  45  24        3
  127  H_RUN              -                 Y    8  1182 282 1311 315 129  33        8
  128  WD_SPACE           -                 N    0  1352 282 1367 318  15  36        0
  129  H_RUN              -                 Y    2  1367 282 1396 312  29  30        2
  130  H_RUN              -                 Y    2  1544 282 1578 306  34  24        2
  131  H_RUN              -                 Y    4  444 284 493 314  49  30        4
  132  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  540 284 549 306   9  22        1
  133  H_RUN              -                 Y    2  1480 284 1497 311  17  27        2
  134  H_RUN              -                 Y   10  925 285 1113 315 188  30       10
  135  WD_SPACE           -                 N    0  1113 285 1126 306  13  21        0
  136  WD_SPACE           -                 N    0  196 290 209 311  13  21        0
  137  H_RUN              -                 Y    4  728 290 781 314  53  24        4
  138  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  828 290 838 306  10  16        1
  139  WD_SPACE           -                 N    0  912 290 925 306  13  16        0
  140  WD_SPACE           -                 N    0  1171 290 1182 306  11  16        0
  141  H_RUN              -                 Y    1  1415 290 1431 306  16  16        1
  142  H_RUN              -                 Y    1  1447 290 1462 315  15  25        1
  143  WD_SPACE           -                 N    0  1497 290 1506 311   9  21        0
  144  H_RUN              -                 Y    1  1506 290 1522 306  16  16        1
  145  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  404 293 427 294  23   1        1
  146  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  688 293 711 294  23   1        1
  147  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  507 297 528 298  21   1        1
  148  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  795 297 816 298  21   1        1
  149  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  382 299 387 311   5  12        1
  150  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  552 299 557 311   5  12        1
  151  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  662 299 671 311   9  12        1
  152  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  842 299 851 311   9  12        1
  153  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  404 300 427 301  23   1        1
  154  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  688 300 711 301  23   1        1
  155  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  148 302 154 311   6   9        1
  156  H_RUN              -                 Y    1  190 302 196 311   6   9        1
  157  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  211 336 220 354   9  18        1
  158  WD_SPACE           -                 N    0  177 344 188 383  11  39        0
  159  H_RUN              -                 Y    2  188 344 215 384  27  40        2
  160  WD_SPACE           -                 N    0  261 346 267 381   6  35        0
  161  H_RUN              -                 Y    1  267 346 275 381   8  35        1
  162  WD_SPACE           -                 N    0  275 346 279 381   4  35        0
  163  WD_SPACE           -                 N    0  289 346 294 381   5  35        0
  164  H_RUN              -                 Y    1  294 346 302 381   8  35        1
  165  WD_SPACE           -                 N    0  302 346 307 381   5  35        0
  166  WD_SPACE           -                 N    0  324 346 329 381   5  35        0
  167  H_RUN              -                 Y    1  329 346 337 381   8  35        1
  168  WD_SPACE           -                 N    0  337 346 341 381   4  35        0
  169  WD_SPACE           -                 N    0  377 346 382 381   5  35        0
  170  H_RUN              -                 Y    1  382 346 390 381   8  35        1
  171  WD_SPACE           -                 N    0  390 346 399 381   9  35        0
  172  H_RUN              -                 Y    3  121 348 177 372  56  24        3
  173  WD_SPACE           -                 N    0  215 348 231 384  16  36        0
  174  H_RUN              -                 Y    2  231 348 261 378  30  30        2
  175  H_RUN              -                 Y    1  307 348 324 381  17  33        1
  176  H_RUN              -                 Y    2  399 348 428 372  29  24        2
  177  WD_SPACE           -                 N    0  468 348 478 379  10  31        0
  178  H_RUN              -                 Y    2  478 348 502 379  24  31        2
  179  H_RUN              -                 Y    3  512 348 547 379  35  31        3
  180  H_RUN              -                 Y    6  611 348 723 381 112  33        6
  181  H_RUN              -                 Y    9  732 348 882 372 150  24        9
  182  WD_SPACE           -                 N    0  882 348 892 381  10  33        0
  183  H_RUN              -                 Y    7  892 348 1058 381 166  33        7
  184  H_RUN              -                 Y    8  1076 348 1209 381 133  33        8
  185  H_RUN              -                 Y    3  1256 348 1301 372  45  24        3
  186  WD_SPACE           -                 N    0  1301 348 1312 372  11  24        0
  187  H_RUN              -                 Y    8  1312 348 1456 381 144  33        8
  188  WD_SPACE           -                 N    0  1456 348 1465 381   9  33        0
  189  H_RUN              -                 Y    7  1465 348 1579 372 114  24        7
  190  WD_SPACE           -                 N    0  502 349 512 372  10  23        0
  191  H_RUN              -                 Y    2  341 350 358 377  17  27        2
  192  WD_SPACE           -                 N    0  1247 351 1256 372   9  21        0
  193  H_RUN              -                 Y    1  279 356 289 372  10  16        1
  194  WD_SPACE           -                 N    0  358 356 367 377   9  21        0
  195  H_RUN              -                 Y    1  367 356 377 372  10  16        1
  196  WD_SPACE           -                 N    0  428 356 438 372  10  16        0
  197  H_RUN              -                 Y    2  438 356 468 372  30  16        2
  198  WD_SPACE           -                 N    0  547 356 557 377  10  21        0
  199  H_RUN              -                 Y    2  557 356 600 372  43  16        2
  200  WD_SPACE           -                 N    0  600 356 611 372  11  16        0
  201  WD_SPACE           -                 N    0  723 356 732 381   9  25        0
  202  WD_SPACE           -                 N    0  1209 356 1218 381   9  25        0
  203  H_RUN              -                 Y    1  1218 356 1247 372  29  16        1
  204  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1060 368 1066 377   6   9        1
  205  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  120 414 131 438  11  24        1
  206  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  212 414 221 438   9  24        1
  207  H_RUN              -                 Y    6  222 417 309 438  87  21        6
  208  H_RUN              -                 Y    4  132 422 211 438  79  16        4
  209  WD_SPACE           -                 N    0  211 422 222 438  11  16        0
  210  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  447 533 468 549  21  16        1
  211  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  489 533 497 549   8  16        1
  212  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1182 533 1196 549  14  16        1
  213  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1218 533 1226 549   8  16        1
  214  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  198 536 206 552   8  16        1
  215  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  939 536 947 552   8  16        1
  216  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  910 543 935 604  25  61        1
  217  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  170 544 195 605  25  61        1
  218  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  220 552 237 555  17   3        1
  219  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  637 552 654 555  17   3        1
  220  H_RUN              -                 Y    1  457 555 489 593  32  38        1
  221  WD_SPACE           -                 N    0  489 555 506 593  17  38        0
  222  H_RUN              -                 Y    1  1188 555 1220 593  32  38        1
  223  WD_SPACE           -                 N    0  1220 555 1234 593  14  38        0
  224  WD_SPACE           -                 N    0  241 557 247 589   6  32        0
  225  H_RUN              -                 Y    1  247 557 254 589   7  32        1
  226  WD_SPACE           -                 N    0  254 557 258 589   4  32        0
  227  WD_SPACE           -                 N    0  273 557 277 589   4  32        0
  228  H_RUN              -                 Y    1  277 557 284 589   7  32        1
  229  WD_SPACE           -                 N    0  284 557 288 589   4  32        0
  230  WD_SPACE           -                 N    0  302 557 307 589   5  32        0
  231  H_RUN              -                 Y    1  307 557 314 589   7  32        1
  232  WD_SPACE           -                 N    0  314 557 318 589   4  32        0
  233  WD_SPACE           -                 N    0  356 557 360 589   4  32        0
  234  H_RUN              -                 Y    1  360 557 367 589   7  32        1
  235  WD_SPACE           -                 N    0  367 557 372 589   5  32        0
  236  WD_SPACE           -                 N    0  554 557 559 589   5  32        0
  237  H_RUN              -                 Y    1  559 557 566 589   7  32        1
  238  WD_SPACE           -                 N    0  566 557 570 589   4  32        0
  239  WD_SPACE           -                 N    0  608 557 620 589  12  32        0
  240  H_RUN              -                 Y    1  620 557 627 589   7  32        1
  241  WD_SPACE           -                 N    0  627 557 632 589   5  32        0
  242  WD_SPACE           -                 N    0  657 557 664 589   7  32        0
  243  H_RUN              -                 Y    1  664 557 671 589   7  32        1
  244  WD_SPACE           -                 N    0  671 557 675 589   4  32        0
  245  WD_SPACE           -                 N    0  690 557 701 589  11  32        0
  246  H_RUN              -                 Y    1  701 557 708 589   7  32        1
  247  WD_SPACE           -                 N    0  983 557 989 589   6  32        0
  248  H_RUN              -                 Y    2  989 557 1009 589  20  32        2
  249  WD_SPACE           -                 N    0  1009 557 1014 589   5  32        0
  250  H_RUN              -                 Y    1  1014 557 1021 589   7  32        1
  251  WD_SPACE           -                 N    0  1021 557 1026 589   5  32        0
  252  WD_SPACE           -                 N    0  1042 557 1046 589   4  32        0
  253  H_RUN              -                 Y    1  1046 557 1053 589   7  32        1
  254  WD_SPACE           -                 N    0  1053 557 1057 589   4  32        0
  255  WD_SPACE           -                 N    0  1089 557 1094 589   5  32        0
  256  H_RUN              -                 Y    1  1094 557 1101 589   7  32        1
  257  WD_SPACE           -                 N    0  1101 557 1111 589  10  32        0
  258  WD_SPACE           -                 N    0  1288 557 1292 589   4  32        0
  259  H_RUN              -                 Y    1  1292 557 1299 589   7  32        1
  260  WD_SPACE           -                 N    0  1299 557 1303 589   4  32        0
  261  WD_SPACE           -                 N    0  1347 557 1351 589   4  32        0
  262  H_RUN              -                 Y    1  1351 557 1358 589   7  32        1
  263  WD_SPACE           -                 N    0  1358 557 1363 589   5  32        0
  264  WD_SPACE           -                 N    0  1390 557 1396 589   6  32        0
  265  H_RUN              -                 Y    3  1396 557 1427 589  31  32        3
  266  WD_SPACE           -                 N    0  1427 557 1431 589   4  32        0
  267  H_RUN              -                 Y    1  1431 557 1438 589   7  32        1
  268  H_RUN              -                 Y    1  506 558 530 581  24  23        1
  269  WD_SPACE           -                 N    0  530 558 540 589  10  31        0
  270  H_RUN              -                 Y    3  1234 558 1288 589  54  31        3
  271  H_RUN              -                 Y    2  215 559 241 587  26  28        2
  272  H_RUN              -                 Y    2  372 559 403 581  31  22        2
  273  H_RUN              -                 Y    2  632 559 657 587  25  28        2
  274  H_RUN              -                 Y    2  956 559 983 587  27  28        2
  275  H_RUN              -                 Y    1  1026 559 1042 589  16  30        1
  276  H_RUN              -                 Y    2  1111 559 1136 581  25  22        2
  277  H_RUN              -                 Y    2  1363 559 1390 587  27  28        2
  278  H_RUN              -                 Y    2  318 561 334 586  16  25        2
  279  H_RUN              -                 Y    2  570 561 586 586  16  25        2
  280  H_RUN              -                 Y    2  1057 561 1073 586  16  25        2
  281  H_RUN              -                 Y    2  1303 561 1320 586  17  25        2
  282  H_RUN              -                 Y    1  258 566 273 581  15  15        1
  283  H_RUN              -                 Y    1  288 566 302 589  14  23        1
  284  WD_SPACE           -                 N    0  334 566 341 586   7  20        0
  285  H_RUN              -                 Y    1  341 566 356 581  15  15        1
  286  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  415 566 436 571  21   5        1
  287  H_RUN              -                 Y    1  540 566 554 589  14  23        1
  288  WD_SPACE           -                 N    0  586 566 593 586   7  20        0
  289  H_RUN              -                 Y    1  593 566 608 581  15  15        1
  290  H_RUN              -                 Y    1  675 566 690 581  15  15        1
  291  WD_SPACE           -                 N    0  1073 566 1079 586   6  20        0
  292  H_RUN              -                 Y    1  1079 566 1089 581  10  15        1
  293  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1149 566 1170 571  21   5        1
  294  WD_SPACE           -                 N    0  1320 566 1326 586   6  20        0
  295  H_RUN              -                 Y    2  1326 566 1347 586  21  20        2
  296  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  415 573 436 579  21   6        1
  297  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1149 573 1170 579  21   6        1
  298  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  185 590 194 605   9  15        1
  299  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  926 590 935 605   9  15        1
  300  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  481 597 489 613   8  16        1
  301  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1214 597 1222 613   8  16        1
  302  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1184 602 1193 613   9  11        1
  303  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  436 630 451 646  15  16        1
  304  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  484 630 499 646  15  16        1
  305  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1170 630 1185 646  15  16        1
  306  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1215 634 1230 650  15  16        1
  307  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  331 635 352 651  21  16        1
  308  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  373 635 381 651   8  16        1
  309  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1068 635 1082 651  14  16        1
  310  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1104 635 1112 651   8  16        1
  311  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  451 641 459 654   8  13        1
  312  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  499 641 507 654   8  13        1
  313  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1185 641 1193 654   8  13        1
  314  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1230 646 1238 654   8   8        1
  315  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  732 655 749 658  17   3        1
  316  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  340 657 372 695  32  38        1
  317  H_RUN              -                 Y    1  433 657 465 695  32  38        1
  318  WD_SPACE           -                 N    0  465 657 481 695  16  38        0
  319  H_RUN              -                 Y    1  481 657 513 695  32  38        1
  320  WD_SPACE           -                 N    0  513 657 526 695  13  38        0
  321  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1075 657 1107 695  32  38        1
  322  WD_SPACE           -                 N    0  1156 657 1167 695  11  38        0
  323  H_RUN              -                 Y    1  1167 657 1199 695  32  38        1
  324  WD_SPACE           -                 N    0  1199 657 1212 695  13  38        0
  325  H_RUN              -                 Y    1  1212 657 1244 695  32  38        1
  326  WIDE_SPACE         -                 N    0  1244 657 1267 695  23  38        0
  327  WD_SPACE           -                 N    0  598 660 603 692   5  32        0
  328  H_RUN              -                 Y    1  603 660 610 692   7  32        1
  329  WD_SPACE           -                 N    0  610 660 626 692  16  32        0
  330  H_RUN              -                 Y    1  626 660 633 692   7  32        1
  331  WD_SPACE           -                 N    0  633 660 638 692   5  32        0
  332  WD_SPACE           -                 N    0  672 660 677 692   5  32        0
  333  H_RUN              -                 Y    1  677 660 684 692   7  32        1
  334  WD_SPACE           -                 N    0  684 660 688 692   4  32        0
  335  WD_SPACE           -                 N    0  703 660 715 692  12  32        0
  336  H_RUN              -                 Y    1  715 660 722 692   7  32        1
  337  WD_SPACE           -                 N    0  722 660 727 692   5  32        0
  338  WD_SPACE           -                 N    0  752 660 759 692   7  32        0
  339  H_RUN              -                 Y    1  759 660 766 692   7  32        1
  340  WD_SPACE           -                 N    0  766 660 770 692   4  32        0
  341  WD_SPACE           -                 N    0  785 660 796 692  11  32        0
  342  H_RUN              -                 Y    1  796 660 803 692   7  32        1
  343  WD_SPACE           -                 N    0  1316 660 1322 692   6  32        0
  344  H_RUN              -                 Y    1  1322 660 1329 692   7  32        1
  345  WD_SPACE           -                 N    0  1329 660 1344 692  15  32        0
  346  H_RUN              -                 Y    1  1344 660 1351 692   7  32        1
  347  WD_SPACE           -                 N    0  1351 660 1356 692   5  32        0
  348  WD_SPACE           -                 N    0  1385 660 1390 692   5  32        0
  349  H_RUN              -                 Y    3  1390 660 1421 692  31  32        3
  350  WD_SPACE           -                 N    0  1421 660 1425 692   4  32        0
  351  H_RUN              -                 Y    1  1425 660 1432 692   7  32        1
  352  WIDE_SPACE         -                 N    0  1432 660 1460 692  28  32        0
  353  WD_SPACE           -                 N    0  1464 660 1470 692   6  32        0
  354  H_RUN              -                 Y    3  1470 660 1502 692  32  32        3
  355  WD_SPACE           -                 N    0  1502 660 1506 692   4  32        0
  356  H_RUN              -                 Y    1  1506 660 1513 692   7  32        1
  357  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  389 661 413 684  24  23        1
  358  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1121 661 1145 684  24  23        1
  359  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1254 661 1266 684  12  23        1
  360  H_RUN              -                 Y    2  727 662 752 689  25  27        2
  361  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1437 662 1462 684  25  22        1
  362  H_RUN              -                 Y    5  526 664 598 692  72  28        5
  363  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  614 664 622 684   8  20        1
  364  H_RUN              -                 Y    2  638 664 672 692  34  28        2
  365  H_RUN              -                 Y    4  1267 664 1316 692  49  28        4
  366  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1333 664 1341 684   8  20        1
  367  H_RUN              -                 Y    2  1356 664 1385 692  29  28        2
  368  H_RUN              -                 Y    1  688 669 703 684  15  15        1
  369  H_RUN              -                 Y    1  770 669 785 684  15  15        1
  370  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  298 673 319 674  21   1        1
  371  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1035 673 1056 674  21   1        1
  372  H_RUN              -                 Y    1  1147 678 1156 689   9  11        1
  373  H_RUN              -                 Y    1  1460 678 1464 689   4  11        1
  374  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  298 679 319 680  21   1        1
  375  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1035 679 1056 680  21   1        1
  376  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  364 700 372 716   8  16        1
  377  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  511 700 519 716   8  16        1
  378  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1100 700 1108 716   8  16        1
